trading_symbol,instrument_key,isin
NIFTY,NSE_INDEX|Nifty 50,
MARUTI,NSE_EQ|INE585B01010,INE585B01010
BAJAJ-AUTO,NSE_EQ|INE917I01010,INE917I01010
INFY,NSE_EQ|INE009A01021,INE009A01021
KOTAKBANK,NSE_EQ|INE237A01036,INE237A01036
DIVISLAB,NSE_EQ|INE361B01024,INE361B01024
HINDUNILVR,NSE_EQ|INE030A01027,INE030A01027
SHRIRAMFIN,NSE_EQ|INE721A01047,INE721A01047
HEROMOTOCO,NSE_EQ|INE158A01026,INE158A01026
SBILIFE,NSE_EQ|INE123W01016,INE123W01016
TRENT,NSE_EQ|INE849A01020,INE849A01020
TECHM,NSE_EQ|INE669C01036,INE669C01036
BRITANNIA,NSE_EQ|INE216A01030,INE216A01030
SBIN,NSE_EQ|INE062A01020,INE062A01020
TATASTEEL,NSE_EQ|INE081A01020,INE081A01020
WIPRO,NSE_EQ|INE075A01022,INE075A01022
ADANIPORTS,NSE_EQ|INE742F01042,INE742F01042
GRASIM,NSE_EQ|INE047A01021,INE047A01021
ONGC,NSE_EQ|INE213A01029,INE213A01029
ASIANPAINT,NSE_EQ|INE021A01026,INE021A01026
NTPC,NSE_EQ|INE733E01010,INE733E01010
NESTLEIND,NSE_EQ|INE239A01024,INE239A01024
APOLLOHOSP,NSE_EQ|INE437A01024,INE437A01024
JSWSTEEL,NSE_EQ|INE019A01038,INE019A01038
COALINDIA,NSE_EQ|INE522F01014,INE522F01014
BAJFINANCE,NSE_EQ|INE296A01032,INE296A01032
RELIANCE,NSE_EQ|INE002A01018,INE002A01018
TCS,NSE_EQ|INE467B01029,INE467B01029
LICI,NSE_EQ|INE0J1Y01017,INE0J1Y01017
HDFCBANK,NSE_EQ|INE040A01034,INE040A01034
EICHERMOT,NSE_EQ|INE066A01021,INE066A01021
POWERGRID,NSE_EQ|INE752E01010,INE752E01010
BAJAJFINSV,NSE_EQ|INE918I01026,INE918I01026
DRREDDY,NSE_EQ|INE089A01031,INE089A01031
BHARTIARTL,NSE_EQ|INE397D01024,INE397D01024
CIPLA,NSE_EQ|INE059A01026,INE059A01026
TITAN,NSE_EQ|INE280A01028,INE280A01028
AXISBANK,NSE_EQ|INE238A01034,INE238A01034
SUNPHARMA,NSE_EQ|INE044A01036,INE044A01036
HINDALCO,NSE_EQ|INE038A01020,INE038A01020
BEL,NSE_EQ|INE263A01024,INE263A01024
HCLTECH,NSE_EQ|INE860A01027,INE860A01027
ITC,NSE_EQ|INE154A01025,INE154A01025
M&M,NSE_EQ|INE101A01026,INE101A01026
ICICIBANK,NSE_EQ|INE090A01021,INE090A01021
LT,NSE_EQ|INE018A01030,INE018A01030
ADANIENT,NSE_EQ|INE423A01024,INE423A01024
ULTRACEMCO,NSE_EQ|INE481G01011,INE481G01011
BPCL,NSE_EQ|INE029A01011,INE029A01011
